ra,dec,,ra_deg
19.3333,13.6371,,290.0000
19.4000,15.4493,,291.0000
19.4667,17.2261,,292.0000
19.5333,18.9645,,293.0000
19.6000,20.6621,,294.0000
19.6667,22.3171,,295.0000
19.7333,23.9277,,296.0000
19.8000,25.4928,,297.0000
19.8667,27.0116,,298.0000
19.9333,28.4835,,299.0000
20.0000,29.9084,,300.0000
20.0667,31.2864,,301.0000
20.1333,32.6177,,302.0000
20.2000,33.9029,,303.0000
20.2667,35.1426,,304.0000
20.3333,36.3377,,305.0000
20.4000,37.4891,,306.0000
20.4667,38.5980,,307.0000
20.5333,39.6654,,308.0000
20.6000,40.6924,,309.0000
20.6667,41.6804,,310.0000
20.7333,42.6305,,311.0000
20.8000,43.5441,,312.0000
20.8667,44.4223,,313.0000
20.9333,45.2664,,314.0000
21.0000,46.0777,,315.0000
21.0667,46.8573,,316.0000
21.1333,47.6065,,317.0000
21.2000,48.3264,,318.0000
21.2667,49.0180,,319.0000
21.3333,49.6826,,320.0000
21.4000,50.3211,,321.0000
21.4667,50.9345,,322.0000
21.5333,51.5239,,323.0000
21.6000,52.0900,,324.0000
21.6667,52.6340,,325.0000
21.7333,53.1565,,326.0000
21.8000,53.6584,,327.0000
21.8667,54.1405,,328.0000
21.9333,54.6035,,329.0000
22.0000,55.0482,,330.0000
22.0667,55.4752,,331.0000
22.1333,55.8851,,332.0000
22.2000,56.2787,,333.0000
22.2667,56.6564,,334.0000
22.3333,57.0188,,335.0000
22.4000,57.3665,,336.0000
22.4667,57.6999,,337.0000
22.5333,58.0196,,338.0000
22.6000,58.3259,,339.0000
22.6667,58.6194,,340.0000
22.7333,58.9004,,341.0000
22.8000,59.1692,,342.0000
22.8667,59.4264,,343.0000
22.9333,59.6722,,344.0000
23.0000,59.9069,,345.0000
23.0667,60.1309,,346.0000
23.1333,60.3444,,347.0000
23.2000,60.5478,,348.0000
23.2667,60.7413,,349.0000
23.3333,60.9251,,350.0000
23.4000,61.0994,,351.0000
